Matrícula 20792: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25081: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25163: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25165: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25203: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25233: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=0, VALOR TOTAL VR=0.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25251: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25290: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25294: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25310: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 25314: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25330: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25342: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25349: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25379: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 25528: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25565: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25579: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25583: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 25609: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25614: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25619: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25670: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=0, VALOR TOTAL VR=0.0 (reason=match_uf_in_sindicato:PR)
Matrícula 25707: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=0, VALOR TOTAL VR=0.0 (reason=match_uf_in_sindicato:SP)
Matrícula 25724: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 25770: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 25846: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25857: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=0, VALOR TOTAL VR=0.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25872: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25931: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25934: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25975: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 25978: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26042: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26051: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26055: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26084: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26095: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26129: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26139: sindicato='NÃO INFORMADO', valor_unitario=0.0, dias_uteis=0, VALOR TOTAL VR=0.0 (reason=no_match)
Matrícula 26147: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26161: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26174: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26182: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26183: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26210: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26245: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26268: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26273: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26275: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26307: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 26314: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26322: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26336: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26345: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26346: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26347: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26361: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26434: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26463: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26497: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26545: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26561: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26578: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 26609: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26611: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26662: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26681: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26702: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26705: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26716: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26720: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26742: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26745: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26781: sindicato='SINDPD RJ - SINDICATO PROFISSIONAIS DE PROC DADOS DO RIO DE JANEIRO', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RJ)
Matrícula 26787: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26805: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26809: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26846: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26854: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26856: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26859: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26876: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 26892: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26910: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26925: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26927: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26949: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 26967: sindicato='SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.', valor_unitario=37.5, dias_uteis=22, VALOR TOTAL VR=825.0 (reason=match_uf_in_sindicato:SP)
Matrícula 26997: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
Matrícula 27005: sindicato='SITEPD PR - SIND DOS TRAB EM EMPR PRIVADAS DE PROC DE DADOS DE CURITIBA E REGIAO METROPOLITANA', valor_unitario=35.0, dias_uteis=22, VALOR TOTAL VR=770.0 (reason=match_uf_in_sindicato:PR)
Matrícula 27009: sindicato='SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL', valor_unitario=35.0, dias_uteis=21, VALOR TOTAL VR=735.0 (reason=match_uf_in_sindicato:RS)
